param   min   max   mean
vol_CP   3.770900e+02   8.957883e+02   6.356819e+02
sa_CP   5.913347e+02   1.387706e+03   9.880910e+02
vol_NU   9.033691e+01   2.688461e+02   1.900394e+02
sa_NU   2.008600e+02   4.469607e+02   3.467282e+02
vol_EN   2.141368e+00   2.909900e+00   2.623267e+00
sa_EN   6.960799e+01   1.448504e+02   1.187115e+02
vol_EC   2.376931e+03   4.409715e+03   3.266614e+03
sa_EC   1.497324e+03   2.722125e+03   2.084786e+03
exEC   4.449648e+02   1.205738e+03   7.980516e+02
exCP   -2.451413e+02   -1.016465e+02   -1.593121e+02
